cont_id,transaction_id,payment_date,delivery_date,transaction_date,cont_residency_zip,store_name,prod_id,prod_family,prod_subfamily,prod_style,prod_name,other01,prod_category,prod_color,prod_price_net
100009667,100010406,3/12/2015,7/20/2015,3/12/2015,10003,MADISON,790027680,SOFAS,MODULAR SOFAS,LES CONTEMPORAINS,MAH JONG,SEAT CUSHION,COM,COM,1088
100009667,100010406,3/12/2015,7/20/2015,3/12/2015,10003,MADISON,790027651,SOFAS,MODULAR SOFAS,LES CONTEMPORAINS,MAH JONG,STRAIGHT BACK,COM,COM,811.75
100009667,100010406,3/12/2015,7/20/2015,3/12/2015,10003,MADISON,790206440,SOFAS,MODULAR SOFAS,LES CONTEMPORAINS,MAH JONG (1/2),CORNER BACK,FABRICS,FABRIC CAT. A1 / COM,1207
100009685,101701486,5/14/2016,9/8/2016,5/14/2016,10011,UPPER EAST SIDE,790076926,COCKTAIL TABLES,FIXED COCKTAIL TABLES,LES CONTEMPORAINS,MURANO,COCKTAIL TABLE - EXTRA CLEAR GLASS TOP,GLASS,MURANO GLASS-THE,7629.6
100009685,100010835,5/31/2015,10/12/2015,5/31/2015,10011,MADISON,790021059,ARMCHAIRS,INDEPENDENT ARMCHAIRS,NOUVEAUX CLASSIQUES,MARIANNE,DUCHESSE,COM,COM,5101.13
100009709,100009888,12/2/2014,5/20/2015,12/2/2014,10016,MADISON,790084738,CHAIRS,STOOLS,LES CONTEMPORAINS,UBLO COLLECTION,STOOL GLOSSY LACQUER,SYNTHETIC LEATHER,SIMILI CUIR.,5514.75
100009709,100009888,12/2/2014,5/20/2015,12/2/2014,10016,MADISON,790091472,STORAGE UNITS,BARS,LES CONTEMPORAINS,UBLO BAR,BAR RIGHT - FOOTREST IN BLACK NICKEL,FINISH,GLOSSY LACQUER,7015.75
100009709,100009888,12/2/2014,5/20/2015,12/2/2014,10016,MADISON,790143415,SOFAS,STRAIGHT SOFAS,LES CONTEMPORAINS,CINETIQUE (FULL RELAX),LARGE 3-SEAT SOFA,LEATHER,LEATHER CAT. 03,11438
100009717,100010007,12/29/2014,10/8/2015,12/29/2014,7302,MADISON,790174144,SOFAS,STRAIGHT SOFAS,LES CONTEMPORAINS,PLAYER,LARGE 4-SEAT SOFA,FABRIC,FABRIC CAT. 03,8080.01
100009717,100010007,12/29/2014,10/8/2015,12/29/2014,7302,MADISON,790159633,SOFAS,ARMCHAIRS (C),LES CONTEMPORAINS,PLAYER,LARGE ARMCHAIR,FABRIC,FABRIC CAT. 03,3794.09
